	Top	Gene	logFC.vs.2	logFC.vs.3	logFC.vs.4	logFC.vs.5	logFC.vs.6	logFC.vs.7	FDR.vs.2	FDR.vs.3	FDR.vs.4	FDR.vs.5	FDR.vs.6	FDR.vs.7
941	176	CADM3	1.90255992517291	2.02356807375546	0.370254055435507	0.679941301805848	-0.0169142735437854	1.78062767325373	1.55348005218883e-37	8.77038195773078e-39	0.0232700297271053	0.0025753527174702	0.966256057599973	8.89258160844306e-15
6835	177	TALDO1	-0.20797343760768	-0.841050219423031	-1.99659372151027	-1.82132790532635	-1.14518224154139	-1.19312820009534	0.186132060393215	3.08251735424337e-11	3.40129992159858e-68	1.42322204514107e-38	2.32671443482137e-15	8.40017626928451e-14
10273	177	CDH1	-0.61101448765435	0	-0.039674987667897	0	-0.850408632201385	-2.27931826041517	1.5300278109538e-08	1	0.253867570674317	1	1.54396579866777e-10	2.45114415990124e-40
12039	177	GADD45GIP1	-0.25032495899084	1.88627760002528	0.652918513945128	0.471569673847166	0.253862928737093	-0.0261500058617317	0.000945693294411513	1.58269690504135e-85	5.25596043461372e-15	1.7389518945204e-05	0.0155367311554205	0.853346792688557
12497	177	EHD2	-0.640618482564461	-1.73495653488853	-2.50065795095381	-2.18017113914018	-1.49029854107728	-0.853633566082968	5.62776941895603e-05	2.97123850133803e-31	4.03782831039351e-71	1.46611500815493e-35	2.68316647547779e-17	3.6997797303711e-05
305	178	MARCKSL1	0.269161526799127	2.67592158916777	1.28871523667793	1.27523036845918	0.758391292774967	1.36766711279021	0.00894712021689061	5.04606370515246e-85	3.71563086228284e-29	6.40743256673406e-17	7.56890774031066e-09	6.91731777110276e-18
11074	178	SUMO2	0.307140726112202	0.727832578772755	1.14494134222298	1.03587763786099	0.639003663000253	0.473412908825247	4.72362558568323e-08	2.55424239646917e-35	2.37175999022956e-70	1.9110064725e-38	1.12883258531032e-17	7.12248994944281e-09
12084	178	TPM4	-0.558317128419447	1.40930670226462	-0.826316527102711	-0.954716991853416	-1.24145189162409	-0.860169584435189	1.00624788442044e-11	9.8628712015333e-41	5.12002447234759e-23	4.81641965587002e-21	1.46747582066066e-39	1.72715242490518e-15
1955	179	LINC01116	-1.13962464335205	-2.64531362228736	-0.616378585279855	-0.191465725662701	0.412338172482225	0.537570426148177	3.37823363402408e-14	5.39064524239768e-85	0.000140665256149594	0.454507789637538	0.0153109755924853	0.00142169351654004
8023	179	TACC2	-0.166296063596597	-0.0309741664236113	0.528611720807413	0.0877758868665719	-0.949535385168926	-2.28696929054741	0.369177017495785	0.906029161772874	9.84242465806658e-05	0.71623928539345	1.69892686700376e-07	3.55740282549113e-40
9	180	HES4	-0.499278379609846	-2.00447684252086	-0.304679067859081	-0.578616110994656	-1.89126772182778	-2.21189188623865	0.00220380382809175	5.98600349885505e-47	0.078594192824297	0.0115656933216572	1.21974399473342e-31	4.35044885371459e-40
1630	180	TPRKB	0.976296531997911	0.982895311975502	1.65659343503338	1.06114664206344	2.04622591438942	2.16455279483583	4.60515694142169e-21	1.33179778221098e-19	1.51332800248924e-41	2.04623696963179e-12	2.82000690875888e-39	3.02265872448119e-33
7509	180	HSPA8	0.537224414261537	1.75496264545456	1.11573306911173	0.878121637387872	1.1329183951671	1.14596440110542	9.36965788747676e-13	9.25997306586164e-85	7.16043700146318e-39	1.63192033372747e-16	3.23772756723415e-27	6.75084180921004e-23
10191	180	HERPUD1	-1.79275181770562	-2.19290256618628	-1.12219542887598	-1.12885229649892	-1.34258095522015	-0.556684019802854	1.55305574088987e-36	1.26738582843783e-54	1.26220529692971e-12	2.88633947315775e-08	4.59867040391149e-14	0.0176820785789047
11715	180	ATP5F1E	-0.200525426110237	0.555217384607669	0.614986250843409	0.958470668211539	0.658130510876941	0.658032731076666	0.000167999062886457	2.03969395974264e-24	2.83462029896633e-27	4.23691967958212e-38	1.97706857236248e-20	2.45077173024989e-17
1746	181	IL1R1	-1.8449504551461	-1.22919835407224	-2.08252449617076	-1.44982294339628	-1.68429233052932	-1.4731066783422	1.70600541730438e-36	5.02173864850814e-16	6.63749363816148e-43	3.98437479150077e-14	2.14698963710583e-22	6.20333000223942e-15
11586	181	MYL9	-0.819562598702149	1.06962678569491	-1.51730497560764	-0.982380552399292	-1.78781781030258	0.596980068686529	1.33775008889554e-10	6.41517776017953e-11	2.8735998622942e-35	6.19632656985310e-09	5.14973324823736e-39	0.00964707653152303
3162	182	HOPX	-0.00717641956133603	-0.683258056115882	-0.063031362077469	-0.0319745567610377	-2.15146757815429	-1.54539254365454	0.93662125446233	9.11920986714581e-08	0.46318257870636	0.814266947358227	6.95329369235609e-39	7.56666038728471e-17
4440	182	GCLC	-0.545230697863814	-0.718755561200505	-0.591776882703015	-0.189671038199848	-1.93280355293931	-2.22031795939762	0.000748107485467607	7.416961534843e-06	0.00027788936739958	0.4998896045882	2.61121564292798e-35	9.56158828508265e-40
9385	182	MOK	-0.363079162461579	0.534747093810547	-1.961632967654	-1.87255712484131	0.715707198358789	1.2034210482378	0.0201077272942484	0.00110716443367514	4.29981966790661e-60	8.27984191327284e-38	0.000583943611154831	2.58272685617144e-07
10413	182	AC129507.4	0	-2.72735662179944	-0.305352285432614	-0.286818228843071	0	0	1	2.30034473303737e-83	0.00016831147985478	0.00326109711419334	1	1
2318	183	RPL15	0.474537835858058	0.40209371121538	0.239623281026456	0.283847472618113	0.348146970266618	0.388121942643013	2.38748945858209e-36	3.61462350221543e-26	2.13648154544349e-09	8.716046111419e-09	5.27152676568004e-12	1.01488597350734e-12
2575	183	GBE1	-0.580884814370351	-0.288215576915397	-2.46858981381303	-1.79905017690827	-1.41824830756845	-0.972840460279957	0.000272976176385089	0.0934406943181366	2.890297892908e-68	1.6836593416516e-21	9.46956700164694e-16	3.30757626722671e-06
8338	183	IGFBP6	0.901194624360958	-1.88046240682497	0.203229661152169	0.728343118918021	0.888174271086784	0.0014917249119113	1.02651316354725e-13	3.66651468152389e-83	0.122365941154569	2.38858034371509e-05	2.46785457658792e-08	1
4162	184	TRIM38	-0.590532932069413	-2.41455405536751	-0.80917280135296	-0.939743610507265	-1.08554134978586	-1.50140524175009	0.000150456150999436	5.85238246940265e-83	8.80464361722218e-08	1.96344982735835e-06	2.66700583193904e-10	1.50682446705002e-16
6562	184	TMEM245	0.104037592288396	-1.60466030362303	-0.441495743824851	-0.44943435975953	-1.80194086104743	-1.73899271758954	0.607490242546771	1.31864889778508e-39	0.00274040103231818	0.0267044632110841	1.19859205700209e-38	3.34798967219461e-30
1076	185	CFH	-1.84375856334465	-0.223773209222513	-1.34280634035567	-0.333103913295073	-0.265756757072071	-0.579569764007055	2.72635878239293e-36	0.0975137127905277	1.78931602061279e-18	0.0855095229659107	0.114886732462249	0.00266622602288989
1947	185	ATP5MC3	-0.566186146488377	-0.804391536657904	-0.761968529006733	-0.454286457377194	-1.34825999204813	-1.42515571028563	1.19806167772229e-09	2.31947661382821e-18	8.64487385682276e-16	0.000684454808620818	1.89226770162602e-38	3.03799130313495e-37
5963	186	PRKDC	0.562177267028241	1.79929341422727	1.58989281695149	1.09486041065724	1.20017927554414	1.22574427214745	1.8455838616337e-13	1.09065167200545e-82	4.07926416528858e-65	1.49916891052692e-22	5.89326741066067e-29	1.47005365766996e-24
11257	186	TUBB6	0.272181737267065	0.615106879280207	-1.20335837366402	-1.53416841803832	-0.944628570785008	-0.318563879984012	0.0354194977108717	1.54987545347753e-06	1.68835727110611e-31	6.47577491981989e-37	2.81596845120193e-14	0.0555629488973682
