	Top	Gene	logFC.vs.2	logFC.vs.3	logFC.vs.4	logFC.vs.5	logFC.vs.6	logFC.vs.7	FDR.vs.2	FDR.vs.3	FDR.vs.4	FDR.vs.5	FDR.vs.6	FDR.vs.7
10584	374	LRRC75A	0.257329657264362	2.29729774935326	1.14267233270099	0.733858857700826	1.48035758530895	1.58772120659956	0.0758545548301835	1.35206867632283e-47	9.24907523607235e-14	0.000341768885953635	5.49313853660408e-15	6.10161182399706e-13
8734	376	NCOR2	1.18163649483263	0.48750762594205	0.275449830672634	0.477843161086246	0.690929736176834	0.513827228826831	2.56703640226905e-21	7.89636400149128e-05	0.0326308322874522	0.00725966512427477	1.04811713046356e-05	0.00415022053352843
8110	379	CHD4	0.56330978391528	1.02490444060914	1.57525263508407	0.60317673633976	0.91286115798343	0.854785810685907	5.49725325034779e-09	1.06862559296072e-22	9.89089399089231e-42	1.42558766249881e-05	1.87399551861316e-12	4.11104721935424e-09
5341	380	LRRC61	0.54173631074109	1.96550782379693	1.63358785386209	1.16462145884614	1.91102514506688	1.93664203937546	7.81630880509186e-05	2.22908954130246e-36	9.1059305706358e-26	1.30640723973418e-08	4.25315638359839e-23	2.95791288269733e-18
4746	381	PDCD2	0.193465790552821	1.04543824104407	1.11268105014544	0.737138341901546	1.45330247980655	1.80371612383266	0.113632357895471	1.33870348707683e-18	1.98661617260386e-19	4.65490033154426e-06	8.7842134876433e-21	2.00815995113287e-22
11727	381	ADRM1	0.155029914047402	1.21538672809375	0.881891449590758	0.840838360051203	1.51713898013501	1.30504426549231	0.192653558536994	1.17607543365373e-24	6.73955280879429e-14	1.01549206927255e-07	4.9734036026934e-23	1.30879109332333e-14
3106	382	TMEM156	1.39926093042381	2.07864974682421	0.784495259721075	1.13601384966706	1.50099090337974	1.6969913216407	3.43960374639723e-21	7.10516205415117e-41	3.11610637122e-07	1.51985745636083e-07	1.21013110834289e-14	9.78258533500128e-14
217	384	RUNX3	1.40832667089517	1.84549363294218	1.9075464480218	1.47189161200395	1.8465103419607	2.02625951246644	3.98760556551983e-21	3.38882633822878e-31	1.3944186474648e-31	8.61193861700835e-11	1.19729248342572e-20	1.91023250736122e-19
3482	385	BRD9	1.11855692555808	1.79131443429812	1.16657652640492	0.863614463668654	1.53252972623241	1.25590227720711	4.24017826043835e-21	1.37637351707264e-39	8.7981642004701e-20	3.78485585026918e-07	2.97738298416182e-21	3.06721598110326e-12
6036	390	STMN2	1.31763629005217	1.34971466311433	0.965029369261078	1.12071394252135	1.34971466311433	1.34971466311433	7.64844251744325e-21	3.39567749556988e-20	7.07646056027802e-09	1.33887230855217e-06	2.91356565303105e-13	3.31146899125857e-10
11206	390	NARF	0.875885371051651	1.64728819376811	1.83823512752942	1.24459072360408	0.787305559993584	0.91882687132042	1.41852523978099e-14	1.27972288909353e-35	2.00083777016286e-40	8.25192724229488e-13	9.72842367689115e-08	6.07046870178383e-08
8332	391	KRT8	0.487057388520807	0.84684112599747	0.525406649939113	0.530924328194671	1.16717378683885	0.854497160616044	1.59246771497405e-08	4.65839661021749e-21	8.86082027965222e-09	9.32721866963675e-06	9.76550676554146e-23	2.92369417865864e-11
12025	392	TRIR	0.287561232649632	1.46301362120022	1.0289969642599	0.441776672174661	0.139714785325095	0.132954876689394	0.00158422099391507	5.80960192053096e-46	4.50934255498266e-25	0.000562037166366963	0.271387623359665	0.360376942830681
3546	393	LIFR	1.38446647387644	0.064917091621071	0.639918900086315	0.844195135974864	0.43677435920005	0.807997174751476	8.66983686802668e-21	0.773611248437521	4.56492021192092e-05	0.000174039683919359	0.0199104294903186	0.000219507287278992
3486	394	CLPTM1L	1.0035346505261	1.59047581111489	1.15147944079976	1.26370262291994	0.748351884525441	0.858277511760469	9.01400352919814e-21	4.09541529813058e-39	1.90799463648423e-22	2.38759013328935e-15	4.9441763970279e-08	4.60507460954037e-08
5136	397	SAP25	1.39662564395117	1.42566362139085	1.49188224793449	0.896567199741103	1.50637355449411	1.39678730056372	1.03560710763457e-20	1.95264517255028e-19	2.01646800920749e-20	0.000152622830603306	1.10601461437303e-14	1.00829508683485e-09
1507	400	LRPPRC	0.438147484147306	1.2195994431458	1.52036664606436	1.24673886223094	1.46646253822555	1.5637595914955	3.76067684244401e-05	2.17825076287611e-25	1.31865667775388e-33	1.35505477585388e-14	1.97940547924389e-22	1.65331104740301e-19
7097	402	FADS1	0.857380962220082	0.377306933711402	1.67390694407963	0.974100911110467	1.12951289866994	1.32528872404752	7.53050373322351e-16	0.000468495541411106	2.63921560128458e-39	3.25064271783978e-10	3.16844733740876e-15	1.23535263681913e-15
1428	404	CAD	1.04049781977715	1.76796805937823	1.7901026670596	1.39742625615341	1.59100074619614	1.2012061835998	1.71809730823015e-18	2.4881829216331e-38	2.45627794855636e-37	1.92231491022056e-14	2.57619154955429e-22	3.3762212340112e-11
1687	404	CHMP3	0.998429844055353	1.84714528207056	0.826629307527345	0.968571871737391	0.845667097653274	0.613518563384416	5.38415138645651e-19	6.26148806256533e-45	3.69248547578143e-12	2.44431326055191e-09	4.98823652870786e-09	0.000161592350087386
4886	405	GGCT	1.04230021046685	0.918938608666448	1.3913321265546	0.797033496526274	0.652639855894161	0.269827220742568	1.82584943937946e-20	2.41005159029631e-15	6.95410123267505e-28	5.8764391496276e-07	5.02082932982938e-06	0.108860284427243
3989	406	NPM1	0.00693661166143097	0.930543296054191	0.848423446606139	0.617063805217069	0.578521498355572	0.660044605099386	0.943632714660152	1.0756306160407e-44	2.32334636542887e-35	4.10671746899224e-13	3.86410457952199e-12	8.46135070393375e-13
11016	409	FTSJ3	0.943902822882028	1.0412841626956	1.79572243960843	1.08445709707748	1.61073657856217	1.70475161633398	3.14488262485807e-15	4.41499759806592e-16	2.6752151514871e-36	2.09596139756581e-09	4.33095025041423e-22	2.30950065835233e-18
3120	411	LIMCH1	0.378560725088002	1.32400148335558	1.08923653690799	1.41835789817574	0.305781479593169	1.88830203550965	0.00153489064351148	5.64745695044441e-24	1.12357156260269e-16	9.91255602291112e-15	0.0515314076273112	4.59052177548882e-21
11668	411	DDX27	0.156773297660483	0.993858364465134	1.66076249959683	0.98635718104947	0.313096570929513	0.504563105126582	0.17865112789969	1.29079412456112e-18	7.21904009837852e-39	2.69376020706039e-10	0.0245307116039034	0.00120819984641065
4041	414	NHP2	0.159651132883499	0.580966012396885	1.13448371240222	0.905752852604697	0.357066059089244	0.330379472285783	0.0525112680302586	1.59672912216124e-13	9.41733464692856e-39	1.60370755631992e-16	0.000406280610337518	0.00379812347109818
1463	417	YIPF4	0.683945751282474	0.398402912252868	1.17335747107831	1.04575167190903	1.37543215254324	1.73928587489345	9.98111304702056e-10	0.000519974084503008	1.44035813420827e-20	4.14141585994109e-10	1.21259951420299e-18	8.68720249489345e-21
9354	418	DICER1	0.663093146791125	1.2431163800982	1.14935455317373	1.53489070477093	1.48038479217392	1.48956363558334	1.84938697907551e-09	1.81858022056393e-24	1.84872600019868e-20	1.32095606571771e-18	2.16025113125556e-21	4.06262850910826e-17
4880	420	SCRN1	1.03142413029765	1.13111757604027	1.01275844079923	1.06605460949879	0.775932172602557	0.552841931028527	6.42125112857183e-20	3.77762572490368e-21	9.21743733159726e-17	8.29631331176313e-11	7.68299379393079e-08	0.000709817664366361
5208	421	TES	0.728200070065629	1.04515403574927	1.16015867174815	1.4113863604773	1.08394856549817	0.312503770060258	3.10601675565699e-12	1.48172756151881e-20	6.7368681638365e-23	2.48148686441596e-18	1.75535723940741e-14	0.0477778454720175
473	425	RAB3B	0.952208150650047	1.90255755754902	0.142314349560107	0.054216195118155	1.88071962467743	1.61852517982424	1.15666635442144e-10	9.09206569868999e-34	0.328163161112079	0.858645106880498	1.69629549057656e-21	1.6465787254465e-12
4396	427	DNPH1	0.0871388033032915	1.81777763765817	0.335692609208267	0.599667654710869	0.755668333678377	0.682295535421071	0.51082491745399	1.50289432319823e-42	0.00475972544297269	0.000233112317892177	2.1735838753687e-07	3.76935674319395e-05
10712	432	AP2B1	0.65105155059368	1.64083643140158	0.966153246187391	0.789987190955261	0.959627261611576	0.680808345787618	2.2261021272685e-10	4.12166822464864e-42	1.82064473725966e-17	1.26873178157301e-07	2.60100438888432e-12	7.49205497893045e-06
3033	436	CYTL1	1.3390934963866	1.37959105494861	1.25881782064721	1.17154255889435	1.48836310496967	1.48836310496967	3.36325337547231e-19	2.39701656287306e-18	2.64327244198669e-14	5.2541435841153e-07	4.57316572495347e-15	1.42446594957144e-11
4860	437	HOXA2	1.32711024618345	0.460758594138258	0.883423382501338	0.5581573883491	0.875400333813084	0.701482857669004	3.36536054942801e-19	0.00589453241066016	2.19629075733807e-07	0.0231722984425063	2.3085228128469e-05	0.00368404663811837
7156	439	SF1	1.05718800362766	0.590672409293802	1.08382538739006	0.709458653558088	0.438346871414611	0.568210235864594	3.65507607541116e-19	6.38826486035242e-07	2.64734324189694e-17	2.5458365329462e-05	0.00364282569599172	0.000874241617358924
11168	439	CCDC137	0.737438203377183	1.60714846333623	1.73044859181545	1.07840899814922	0.429677021197891	0.563677845965283	6.95919031958287e-11	5.25012926254098e-35	6.20371125963134e-37	1.95118690895205e-10	0.00364160980201214	0.000757426959843764
11758	441	PRPF6	0.238660253215359	1.68256668164062	1.66923207241226	1.14828341468052	0.764285956793488	0.699712619545878	0.0375367430508674	2.18577223967123e-39	8.53799236070405e-37	3.71212278957847e-12	9.53727009112628e-08	1.70410264872036e-05
7338	442	CLNS1A	0.953525287846601	0.312107069807139	1.42108792140028	0.948995029754146	1.32395277107219	1.4659369772488	4.71062878225365e-19	0.00375989398011044	4.21079349135058e-31	8.26910551913236e-10	1.08588147624787e-19	3.24007412389886e-18
9562	442	GABPB1-AS1	0.195837573092438	1.2344751311414	1.46153837010866	1.32843834245611	0.431678996055164	0.567990166754671	0.0730818808691759	7.91155576376368e-28	3.58820527367933e-34	1.17531503496743e-17	0.00131072846898423	0.000169083486929885
2361	445	ACVR2B	1.32439410683007	1.38167160534136	1.63034556564734	1.42916469159162	1.42480463785282	1.67133584007496	7.10672960578537e-19	3.0634091519299e-18	3.4974293896602e-23	3.23360398511377e-10	6.40093064992562e-13	3.13518125213769e-13
2508	445	NT5DC2	0.514836188917699	1.80750582784556	0.251184023615286	0.146461025497748	0.5018203891466	0.611182708664245	4.37458670645265e-06	1.70129570351828e-41	0.0373292913688634	0.423311306714226	0.000607320017659488	0.000243821097338496
