	Top	Gene	logFC.vs.2	logFC.vs.3	logFC.vs.4	logFC.vs.5	logFC.vs.6	logFC.vs.7	logFC.vs.1	FDR.vs.2	FDR.vs.3	FDR.vs.4	FDR.vs.5	FDR.vs.6	FDR.vs.7	FDR.vs.1
4122	180	EDN1	-2.48522166343862	-1.29409278896317	-0.302014191495974	-0.150606959423033	-0.0972781150429227	0.0972781150429227	-1.61797873725169	4.99023635860882e-28	2.12532312144497e-08	0.111095424054945	0.485483080317909	0.780036601323803	0.780036601323803	1.8611290116697e-12
5475	180	MAOA	1.52464321320008	-1.6999112245603	-0.391621106195743	0.501914640261446	-1.04388244727357	1.04388244727357	0.326471372723894	6.34210259753632e-14	3.0241020529947e-23	0.0629431015157512	0.121722878160671	1.47503784026389e-06	1.47503784026389e-06	0.181550144495739
1795	181	ACTR3	0.907121481469355	1.65902449480274	0.260208619006063	0.46157527512948	0.0173043209072509	-0.0173043209072509	1.8593024680711	2.90991630051449e-11	2.0884440780866e-29	0.0875318727899185	0.0103607924163071	0.991010671681842	0.991010671681842	4.41383140835742e-40
5536	181	TSPYL2	-0.297369284000593	-2.70229103866732	-0.994376290805872	-0.766231584378325	-0.526764168239895	0.526764168239895	-1.27514139175689	0.233623112475698	3.54575116401971e-35	4.76581187565976e-05	0.0112516145570764	0.161289275257815	0.161289275257815	5.16155885259653e-08
3209	182	CCNI	-1.19522881245769	0.0398500770673997	-1.32785134211678	-1.05357046811592	-0.0947004839399666	0.0947004839399666	-1.40383574515937	8.92430250177726e-28	0.81256785387774	9.4736710897079e-33	8.56526870992916e-17	0.759342004911753	0.759342004911753	1.01043280742827e-39
4440	182	GCLC	1.6750872615338	1.50156239819711	1.6285410766946	2.03064692119777	0.287514406458304	-0.287514406458304	2.22031795939762	2.34525189920512e-23	2.42511144930234e-18	6.27324428038235e-20	5.5226752224221e-19	0.415638498499781	0.415638498499781	9.56158828508265e-40
4442	182	DST	0.185469225939117	-1.66794250893039	-1.89620125267364	-1.72157655491975	-0.757057538596401	0.757057538596401	-1.12494540860772	0.442657086021833	3.48186933971715e-23	8.44492649639408e-30	7.08259292867962e-20	0.00156556972842818	0.00156556972842818	4.57509275480714e-11
4828	183	MACC1	-0.980873512001343	1.2353568224297	1.2353568224297	1.2353568224297	1.1734828504678	-1.1734828504678	1.2353568224297	4.56519165522692e-06	4.93553730861962e-12	1.62433298429866e-11	4.53819991652774e-07	1.76070077763891e-06	1.76070077763891e-06	2.81456301824048e-14
9553	183	EID1	-0.0953402181095904	-1.74116969557999	-1.22432517480078	-1.06472526450488	-0.345881380974222	0.345881380974222	-0.555651961972799	0.654926314068581	4.09874494367162e-35	9.09769480537662e-17	5.04818360703963e-10	0.227238140889208	0.227238140889208	0.000344590151500171
11554	183	AHCY	-1.48586566197529	0.886623322216055	0.765841801891497	0.625174870319452	-0.228234863514065	0.228234863514065	-1.4368827194842	1.0375617059832e-27	1.57175788725775e-07	8.75331793865493e-06	0.00411444075848821	0.486712691205891	0.486712691205891	9.17964762063858e-27
1627	184	CCT7	-1.10077946106646	-0.670718951416873	-0.416507886464438	-1.02195512474122	-0.270707559177466	0.270707559177466	-1.90594437080038	2.18776513723804e-12	7.77266543992595e-05	0.0262191785074074	4.77459901796866e-08	0.44867146374128	0.44867146374128	1.09746463760917e-39
10183	184	MT1E	0.0152400482607697	-2.11197356965152	-1.18154047663547	-1.11067859947985	-0.403712607782209	0.403712607782209	0.21468453192424	0.962370182737239	4.28769419138619e-35	3.37650475201601e-11	3.95606390474774e-08	0.218921952969643	0.218921952969643	0.321877595347712
6164	185	FAM83A-AS1	0	0	-0.0827227335463694	0	-1.25008852887165	1.25008852887165	0	1	1	0.33709411237768	1	2.34978585973277e-06	2.34978585973277e-06	1
9844	185	NME4	-1.70276591625736	-0.20768395349325	-1.09643929640036	-1.42970752184529	0.130168267761538	-0.130168267761538	-2.192047955953	2.16288671858226e-22	0.394046409320813	1.04703110305756e-08	6.94704561693606e-12	0.829689802888344	0.829689802888344	1.11991471899939e-39
11715	185	ATP5F1E	-0.858558157186904	-0.102815346468997	-0.0430464802332571	0.300437937134873	9.77798002741724e-05	-9.77798002741724e-05	-0.658032731076666	1.65134703689901e-27	0.288529388282356	0.703016487820523	0.00527472951751072	1	1	2.45077173024989e-17
3971	186	FABP6	-1.98685688683403	-0.110895915692439	-0.194646504997555	-0.672948103301233	0	0	-2.88146109376802	3.32215972940452e-18	0.236687715912675	0.1099302151634	0.00152915891472032	1	1	1.80694720861783e-39
7648	186	YME1L1	1.36864844529464	0.88032580653667	1.32760405085305	1.10222809432392	0.815206984160217	-0.815206984160217	1.13590277819224	7.36971443919872e-23	2.61711569191686e-10	7.25725445380786e-20	2.40945692065715e-10	2.40753780561603e-06	2.40753780561603e-06	1.25550057327367e-17
8743	186	RAN	-0.276945379948903	-0.864110596445845	-0.867475057649968	-1.12530477337321	-0.207573697421435	0.207573697421435	-0.0707796298136734	0.0309349332144518	1.50418230607577e-14	3.29852693025584e-14	2.32601047141685e-19	0.380220146979378	0.380220146979378	0.680451801811839
1819	187	BIN1	-0.254876169322348	-0.365832047911626	0.638437186066646	0.57728297733689	-1.00442078129786	1.00442078129786	0.480729072551362	0.257757699105771	0.079698294221499	0.00504105172704249	0.0562652360377888	2.45993188499466e-06	2.45993188499466e-06	0.0238452282997159
8806	187	POMP	0.981273437495268	1.27322314093524	0.632984246458969	0.816800416273169	-0.244180907868345	0.244180907868345	1.21568919398837	3.81495304422913e-23	5.27961826171539e-35	7.93929250752564e-10	2.16113756670401e-11	0.150096293747824	0.150096293747824	5.47879619813069e-36
2170	188	PTMA	-0.292253939637258	0.745201985114489	0.923096461618508	0.290501380204003	0.371457903805853	-0.371457903805853	0.127502020473174	0.000173555640951957	1.48847678423361e-23	2.81736293547783e-33	0.00225723069510863	0.000219041111430418	0.000219041111430418	0.120502093030251
6112	188	PABPC1	0.295475510863776	1.09595606072225	0.81887206073428	0.737849086157985	0.0900703770554152	-0.0900703770554152	-0.575679361665704	0.00115275242292633	5.44914540267412e-35	6.22954738716356e-20	1.87107110317158e-12	0.737443883301289	0.737443883301289	2.25328587850076e-12
3516	189	MYO10	-0.661841554807704	1.61649590994717	-1.92209164082011	-0.829829147410829	1.17439249616906	-1.17439249616906	0.281106672288889	0.000351058522707216	3.81774377300672e-15	3.20369450526329e-33	0.000123904121822237	6.32947676299614e-06	6.32947676299614e-06	0.185699991717305
5916	189	NRG1	-2.43219207460596	0	-0.120611708056939	-0.244296175202213	0	0	-0.270658989882653	3.10141652620468e-27	1	0.229222318362107	0.11739170246361	1	1	0.0389427256908159
10927	189	ITGA3	-1.39487443124854	-1.41155536712247	-0.618231665724534	-0.763319414791012	0.179740864501172	-0.179740864501172	-2.12987071653378	1.58816705543172e-15	1.54162414122378e-15	0.00257529542186064	0.00112216581789888	0.722230673724126	0.722230673724126	3.25805131864014e-39
3321	190	C4orf3	-0.0895552259086828	-0.517817354094886	-1.78476360747091	-1.06865072674462	-0.0834211959578069	0.0834211959578069	0.627107491819131	0.692738805441581	0.00265703528347519	4.16142165165198e-33	3.72919357408903e-09	0.896321279903333	0.896321279903333	0.000397027066760766
5082	190	PEG10	-0.390513332552621	2.34253153669326	1.59052680681723	0.494957774769257	0.379478598615957	-0.379478598615957	-1.04241251112285	0.0510831829175868	6.66006473202882e-35	6.55355219299811e-15	0.0672008763861262	0.307213171951426	0.307213171951426	5.41250407950693e-10
7669	190	PARD3	1.37766932296916	1.69182346655799	1.16265865283902	1.23377757793834	1.00638504678358	-1.00638504678358	1.21559138394472	7.5947407331102e-16	6.67177273326162e-21	4.7602188791378e-11	2.93101656860575e-08	2.95551519941403e-06	2.95551519941403e-06	1.61061110071609e-13
2141	191	AP1S3	1.03974253289902	1.57614936776283	0.915124101849302	1.54167439148893	1.23358769376864	-1.23358769376864	1.49425697957102	4.93071104263129e-07	1.21319614990846e-14	3.01232588006788e-05	1.04548937384074e-08	2.99395372472773e-06	2.99395372472773e-06	6.2316751885996e-15
