	mean	total	bio	tech	p.value	FDR
HSPA5	6.49708564339427	14.1947663787434	2.31835052197598	11.8764158567674	1.34198863732343e-08	1.58091054293262e-06
CD24	3.12858054959737	16.299456844683	2.30631473655606	13.9931421081269	1.07689362115534e-06	7.85001902625613e-05
CKS1B	4.53918299108554	17.3033885260746	2.29610590399431	15.0072826220802	5.05592960599476e-06	0.000277949730089562
ASPM	3.40345172041654	16.7254730226013	2.29261725020123	14.4328557724001	2.37893646115696e-06	0.000150015384144387
WFDC2	1.59684310632718	11.524131001696	2.27610509578076	9.24802590591525	2.44788219823661e-12	4.68077648167156e-10
CCND1	7.42710518398634	12.7070305073354	2.27197913802807	10.4350513693073	3.60172530185582e-10	5.33945658794221e-08
GREM1	2.31790381266105	14.2410309825785	2.24736129932952	11.9936696832489	4.3885631459644e-08	4.38656834453441e-06
ANXA1	5.81057973463769	15.4131269561873	2.23601639399677	13.1771105621905	5.54525496057732e-07	4.32923632839392e-05
DCBLD2	5.91226870192847	15.2048341246346	2.22837375028012	12.9764603743544	4.18384988767294e-07	3.32540454325041e-05
ARHGAP29	4.53148825017669	17.234878998588	2.22380748231901	15.011071516269	9.29564862196055e-06	0.000441175496108444
SQSTM1	6.63927628610663	13.8975960747841	2.22011417617113	11.677481898613	2.91104117150401e-08	3.17423778651437e-06
LGALS1	9.26677747082238	10.1980799489331	2.20304739755687	7.99503255137622	8.51172711046099e-15	2.15968706721966e-12
MAP1B	6.25844606760332	14.441376240362	2.17059595329821	12.2707802870638	2.02195833918936e-07	1.71155354993126e-05
ATP5MF	5.58693349218414	15.7046878822998	2.16244980814188	13.542238074158	2.13234387895833e-06	0.000136573520092117
ITGA5	2.56752083107263	14.8668268287745	2.14024823866098	12.7265785901135	6.83024956538585e-07	5.28029380730959e-05
TSPO	6.4703192628686	14.0426694086963	2.12912508556414	11.9135443231322	1.55807601796519e-07	1.37048366540218e-05
SMC4	4.26117038863415	17.124433619003	2.11054752235169	15.0138860966513	2.329794356136e-05	0.000859362150590011
IFI44L	1.5820681043052	11.2855110715853	2.10211435014356	9.18339672144176	5.33986461044394e-11	9.03258636797402e-09
CYR61	5.1667772787584	16.3737536498429	2.03861290583394	14.335140744009	1.91598183357799e-05	0.00075461087499188
PIK3R1	3.49799564880189	16.5699653726023	2.01536517481932	14.5546001977829	2.98723531470895e-05	0.00105666441668284
CDKN2A	5.27954973221946	16.0491520527053	1.98610336568975	14.0630486870156	2.15487566384061e-05	0.00081578100377912
